,damage,stcode,ccode,rain1hr,raintot,stide,stidemhhw,windmax,year,gdp,pop,region
242,0,10,1,1.207991803,1.65391877,0.688677278,-0.270796014,16.36869593,1996,3611270.295,119773.7759,3
243,0,10,3,3.325704225,6.976581798,0.807804829,-0.106386871,15.05011679,1996,29564928.29,497121.4985,3
244,0,34,33,3.181603774,8.479068396,0.798734309,-0.127374318,14.20126539,1996,4315875.465,66475.11429,3
245,0,34,11,0.633802817,4.008148055,0.703703368,-0.276016573,15.24235707,1996,3702856.942,150735.8744,3
246,0,34,9,0.465909091,2.779558983,0.692341724,-0.207027541,16.4676501,1996,3153190.792,104605.403,3
247,0,34,1,1.005787037,7.392807021,0.495301637,-0.214198363,16.18756513,1996,11035141.95,266783.3895,3
248,0,34,29,0.76659292,4.040248311,0.550370576,-0.167129424,15.71081245,1996,9892952.832,518541.3835,3
249,0,34,25,2.880681818,4.798538961,0.645688189,-0.158830405,14.56178204,1996,20334706.62,629790.4857,3
250,0,34,23,0.651041667,1.122931985,0.683888933,-0.196501743,13.45653783,1996,31628598.48,754564.7654,3
251,0,34,39,0.6375,0.641666667,0.68026924,-0.190563421,12.9416933,1996,24025862.79,510287.4323,3
252,0,34,13,0.911931818,1.364701705,0.658707054,-0.193527324,13.21514172,1996,32857424.24,783578.6526,3
253,0,34,17,0.34375,0.65625,0.659168891,-0.1887077,13.48577899,1996,16862490.33,583628.8955,3
254,0,34,3,0.609375,1.109201389,0.488405675,-0.204357816,13.54779151,1996,39532168.44,868410.0489,3
255,0,36,85,0.604166667,0.618055556,0.681174375,-0.18629773,13.67165428,1996,6643272.236,445303.4511,3
256,0,36,47,0.558823529,0.904411765,0.700016081,-0.197750718,14.23197506,1996,21150333.55,2397156.144,3
257,0,36,81,1.215277778,1.430555556,0.954048079,-0.183082287,14.50247321,1996,34756014.68,2165130.37,3
258,0,36,59,1.622340426,1.725293953,0.977141376,-0.155014495,15.33228474,1996,48152592.23,1320403.931,3
259,0,36,103,0.285763889,0.739440471,0.960880545,0.16860011,21.51159575,1996,39814260.08,1462550.335,3
260,0,36,87,0.846153846,1.165865385,0.435591135,-0.123362545,13.34225511,1996,11731567.74,281615.2662,3
261,0,36,61,0.8125,0.875,0.68576962,-0.146480347,0,1996,177083594.7,1531870.382,3
262,0,36,5,1.14375,1.452083333,0.965647597,-0.218732914,13.79396711,1996,15207121.61,1313864.38,3
263,0,36,119,1.341549296,1.464788732,0.96456252,-0.127949246,13.83305841,1996,34278286.45,915123.6188,3
264,0,9,1,0.966032609,3.481617466,0.961191962,-0.232215616,14.80090712,1996,53801341.65,868902.6015,3
265,0,9,9,2.930107527,8.857680644,0.83834514,-0.200025587,16.37144238,1996,29405855.38,837342.1323,3
266,0,9,7,1.613839286,3.890401786,0.598810729,-0.156536616,17.26800134,1996,7365803.599,160705.1639,3
267,0,9,11,1.133290816,6.054540816,0.448437617,-0.120139822,20.21445865,1996,11637367.75,268835.7684,3
268,0,44,9,1.3125,6.008232759,0.495872095,-0.093390286,25.31119532,1996,3213433.441,127308.0865,3
269,0,44,3,1.399553571,4.915178571,0.532512476,-0.217800435,24.23836374,1996,5285455.242,171947.3767,3
