fips,total_events,events_with_damage,total_damage_units,total_weighted_damage_units,total_DS1_units,total_DS2_units,total_DS3_units,total_DS4_units,pct_events_with_damage,total_units,damage_units_per_total,weighted_damage_per_total,pct_housing_affected
12127,158,131,1874575,4775886.0,462167,420226,686533,305649,82.9113924050633,281109.0,6.668498696235268,16.989445375281473,666.8498696235268
12129,124,100,280134,840641.0,53060,55596,98961,72517,80.64516129032258,15046.0,18.618503256679517,55.87139439053569,1861.8503256679517
12131,143,111,572088,1572853.0,119439,108397,240165,104087,77.62237762237763,59387.0,9.633219391449307,26.484803071379257,963.3219391449308
12133,123,101,254736,729577.0,56858,42551,100598,54729,82.11382113821138,12305.0,20.701828524989843,59.291101178382775,2070.182852498984
13001,73,60,86884,212250.0,22512,19650,32748,11974,82.1917808219178,10125.0,8.581135802469136,20.962962962962962,858.1135802469137
13003,70,56,39602,98380.0,10667,7529,16084,5322,80.0,4551.0,8.701823774994507,21.61722698308064,870.1823774994507
13005,69,61,45095,120479.0,9448,9736,18057,7854,88.40579710144928,6471.0,6.968783804666976,18.618297017462524,696.8783804666975
13007,66,51,6475,14823.0,1507,1730,2614,624,77.27272727272727,1303.0,4.969301611665387,11.376055257099003,496.93016116653877
13009,11,7,11052,26722.0,1202,3947,4615,1288,63.63636363636363,21932.0,0.5039212110158672,1.2184023344884187,50.39212110158672
13011,3,2,449,751.0,266,32,151,0,66.66666666666667,10548.0,0.042567311338642395,0.07119833143723929,4.25673113386424
13013,3,1,2,2.0,2,0,0,0,33.333333333333336,32661.0,6.123511221334313e-05,6.123511221334313e-05,0.006123511221334313
13017,46,35,22210,54763.0,3205,5400,11824,1781,76.08695652173913,8876.0,2.5022532672374944,6.169783686345201,250.22532672374945
13019,70,52,65792,181540.0,12314,13046,28804,11628,74.28571428571429,10592.0,6.211480362537764,17.139350453172206,621.1480362537765
